title,company,location,link
Senior Data Scientist (Bangalore - Hybrid),Scry Analytics,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=42321f0043552004&bb=e6eLvopbRNzmW_jbw2AV7WHDR3cpATwbMaxQWXS_7hedn_jz9PudskeYSzrnpihjGGJz1Yp-h2YGXEmQ-Khhuz3VI9CGopqoY44OiggOXzkTBS2AcAJW8AczmhsUl6jdrlDS7TLJQFf_vrZH280kHg%3D%3D&xkcb=SoAy67M3jA45CbzCcZ0NbzkdCdPP&fccid=0f3c7d388790d789&vjs=3
Senior AI Engineer / Senior Data Scientist,SwarmLens Pvt. Ltd.,"Kochi, Kerala",https://in.indeed.com/rc/clk?jk=d846b625bcb63efc&bb=e6eLvopbRNzmW_jbw2AV7RYO2GtgQW6SjTrF1UUEmAPkJvoAktgA0KKKbyWPgSky3qU-UXSJ8KuiHc6NMoZKDxXK5EOsSjFAkaPgQicKFEnOULBS9n3HkncdLuL0crWhUQ5MEi69Lwth9hUB-2qO5w%3D%3D&xkcb=SoCG67M3jA45CbzCcZ0MbzkdCdPP&fccid=4f4ddee1b34da36a&cmp=Swarmlens&ti=Senior+Data+Scientist&vjs=3
Lead AI Scientist,Candescent (Digital First Holdings LLC),"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=2139d1ce45c923ce&bb=e6eLvopbRNzmW_jbw2AV7VkxOYDz69YfbTsY53MvgavxBOjxptHyi8XXolNiCH54C5gdr4faQ1PZQyg-w_iZweCAYzVcQwigFILr45movkxsWMyzf-GdjRWCweVtf4cps0hVVBnSEy31zGM8tpUURQ%3D%3D&xkcb=SoBv67M3jA45CbzCcZ0DbzkdCdPP&fccid=332b2bf7195e18f8&vjs=3
Lead AI Engineer,Credit Saison,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=466fddd84c9b8dd5&bb=e6eLvopbRNzmW_jbw2AV7V8xfnNQbF-Z0uxpuKnUBM0ObTPyngixIyK9Op745aR5USW1l_qa5R2HNcDcgqDNbDeSvEVOLTqjdQtA1zmVqJyea83xWUprhwUKO6taLLPc0VXryVeCkWooEDUmXsl-8w%3D%3D&xkcb=SoDb67M3jA45CbzCcZ0CbzkdCdPP&fccid=b0fbdd288169cca3&vjs=3
Lead AI Engineer,Credit Saison,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=123456789abcdef0
Senior Data Engineer - AI/ML,GSSTech Group,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=0ae4a3d589064c20&bb=e6eLvopbRNzmW_jbw2AV7ZhB-yvJPu9JnGYmHkerIkYbiWm-rqqIqMLar9i92CB_AnWe_bw4IoZgXbkJPVAekZRDX0Cyu9meWpVSRq6yiVzxScUs00F5uJmn3KoeNy3l-0VjT3UhlmVkDlxcL630jQ%3D%3D&xkcb=SoBG67M3jA45CbzCcZ0BbzkdCdPP&fccid=ba91459a9528dd0c&vjs=3
Senior Data Scientist,Srijan Technologies PVT LTD,"Gurugram, Haryana",https://in.indeed.com/rc/clk?jk=050b160da309e63d&bb=e6eLvopbRNzmW_jbw2AV7ab3N1PB8NBOFta8J1R-o9ItZjJ7WjcEf1dUu8JBEQ3Pdea9AM0daXRXB6kO9ELIt_48_QOGODJLUPzGbBLeUGjhMx45qdlaiSLLAQ3SceYK2SxB5-tEzMHbImruvCwyCA%3D%3D&xkcb=SoDy67M3jA45CbzCcZ0AbzkdCdPP&fccid=ce26d549c132788a&vjs=3
Senior Data Scientist,CRUTZ LEELA ENTERPRISES,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=a0f5a8af028f37c9&bb=e6eLvopbRNzmW_jbw2AV7YugYYZsCgLFfBtoKyZsvOcgWIQnNix-4Pqj_oJJWLNw311appZzj3kOySLVgiaqWu3CG_FWO1MRjwnZqIMr7-TL-e8OAjSEI99qxi3L8ZcMkaeRcWijSHl-7i3sPXqaBw%3D%3D&xkcb=SoB867M3jA45CbzCcZ0HbzkdCdPP&fccid=fefb6638290c76b4&cmp=CRUTZ-LEELA-ENTERPRISES&ti=Senior+Data+Scientist&vjs=3
Sr. AI Scientist,Candescent (Digital First Holdings LLC),"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=f02941e7817bb75b&bb=e6eLvopbRNzmW_jbw2AV7QbrTBZYQP6d8RiskZtgl0uLGFNLZG415NTbm8cMFLYEy-vuUJxZu0WjnOWQ3n733TAeGEpM1JgXtWtUn_mFPhRD4MTeDRqfTzo3SnH9RZsMaD3Y7bmQZsCBK6nZQz__Ew%3D%3D&xkcb=SoDI67M3jA45CbzCcZ0GbzkdCdPP&fccid=332b2bf7195e18f8&vjs=3
Senior Digital Innovation Engineer - Data Science,Buckman,"Chennai, Tamil Nadu",https://in.indeed.com/rc/clk?jk=a1d84e8e1841e292&bb=e6eLvopbRNzmW_jbw2AV7RLc4SqEBS1byY1Ev-jeOtVqEvZQwA4td-hrLUITVCwGt7ZLbnL3JrkyNAmeb2taGQzJxXyvVVqa6ibOXzNp_19PZ1qKw1J4K6cCYgZAlBy_x1RZhREsoWMQ4UWrlY-vJg%3D%3D&xkcb=SoBV67M3jA45CbzCcZ0FbzkdCdPP&fccid=cc8e6e4f1597a7a8&vjs=3
